model,Descriptor,Enzyme,scaler,split,Accuracy,kernel
gpc,MIX,HIV-1 IN,minmax,3,0.952725724020443,DotProduct(sigma_0=1)
gpc,MIX,HIV-1 IN,minmax,3,0.8718057921635435,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,MIX,HIV-1 IN,minmax,4,0.8845826235093697,RBF(length_scale=0.5)
gpc,MIX,HIV-1 IN,minmax,4,0.8845826235093697,RBF(length_scale=1)
gpc,MIX,HIV-1 IN,minmax,4,0.8845826235093697,RBF(length_scale=2)
gpc,MIX,HIV-1 IN,minmax,4,0.8845826235093697,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,MIX,HIV-1 IN,minmax,4,0.8743611584327087,"Matern(length_scale=1, nu=0.5)"
gpc,MIX,HIV-1 IN,minmax,4,0.8786201022146508,"Matern(length_scale=1, nu=1.5)"
gpc,MIX,HIV-1 IN,minmax,4,0.8807495741056218,"Matern(length_scale=1, nu=2.5)"
gpc,MIX,HIV-1 IN,minmax,4,0.952725724020443,DotProduct(sigma_0=1)
gpc,MIX,HIV-1 IN,minmax,4,0.8845826235093697,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,PC,HIV-1 PR,std,1,0.94296761720638,RBF(length_scale=0.5)
gpc,PC,HIV-1 PR,std,1,0.94296761720638,RBF(length_scale=1)
gpc,PC,HIV-1 PR,std,1,0.94296761720638,RBF(length_scale=2)
gpc,PC,HIV-1 PR,std,1,0.94296761720638,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,PC,HIV-1 PR,std,1,0.9376510391493476,"Matern(length_scale=1, nu=0.5)"
gpc,PC,HIV-1 PR,std,1,0.9400676655389076,"Matern(length_scale=1, nu=1.5)"
gpc,PC,HIV-1 PR,std,1,0.9405509908168196,"Matern(length_scale=1, nu=2.5)"
gpc,PC,HIV-1 PR,std,1,0.958434026099565,DotProduct(sigma_0=1)
gpc,PC,HIV-1 PR,std,1,0.94296761720638,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,PC,HIV-1 PR,std,2,0.94296761720638,RBF(length_scale=0.5)
gpc,PC,HIV-1 PR,std,2,0.94296761720638,RBF(length_scale=1)
gpc,PC,HIV-1 PR,std,2,0.94296761720638,RBF(length_scale=2)
gpc,PC,HIV-1 PR,std,2,0.94296761720638,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,PC,HIV-1 PR,std,2,0.9362010633156114,"Matern(length_scale=1, nu=0.5)"
gpc,PC,HIV-1 PR,std,2,0.9410343160947318,"Matern(length_scale=1, nu=1.5)"
gpc,PC,HIV-1 PR,std,2,0.9420009666505558,"Matern(length_scale=1, nu=2.5)"
gpc,PC,HIV-1 PR,std,2,0.9275012083131948,DotProduct(sigma_0=1)
gpc,PC,HIV-1 PR,std,2,0.94296761720638,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,PC,HIV-1 PR,std,3,0.9415176413726438,RBF(length_scale=0.5)
gpc,PC,HIV-1 PR,std,3,0.9415176413726438,RBF(length_scale=1)
gpc,PC,HIV-1 PR,std,3,0.9415176413726438,RBF(length_scale=2)
gpc,PC,HIV-1 PR,std,3,0.9415176413726438,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,PC,HIV-1 PR,std,3,0.9376510391493476,"Matern(length_scale=1, nu=0.5)"
gpc,PC,HIV-1 PR,std,3,0.9395843402609956,"Matern(length_scale=1, nu=1.5)"
gpc,PC,HIV-1 PR,std,3,0.9275012083131948,"Matern(length_scale=1, nu=2.5)"
gpc,PC,HIV-1 PR,std,3,0.0724987916868052,DotProduct(sigma_0=1)
gpc,PC,HIV-1 PR,std,3,0.9415176413726438,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,PC,HIV-1 PR,std,4,0.943934267762204,RBF(length_scale=0.5)
gpc,PC,HIV-1 PR,std,4,0.943934267762204,RBF(length_scale=1)
gpc,PC,HIV-1 PR,std,4,0.943934267762204,RBF(length_scale=2)
gpc,PC,HIV-1 PR,std,4,0.943934267762204,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,PC,HIV-1 PR,std,4,0.9381343644272596,"Matern(length_scale=1, nu=0.5)"
gpc,PC,HIV-1 PR,std,4,0.9415176413726438,"Matern(length_scale=1, nu=1.5)"
gpc,PC,HIV-1 PR,std,4,0.94296761720638,"Matern(length_scale=1, nu=2.5)"
gpc,PC,HIV-1 PR,std,4,0.9642339294345096,DotProduct(sigma_0=1)
gpc,PC,HIV-1 PR,std,4,0.943934267762204,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,PC,HIV-1 PR,minmax,1,0.9275012083131948,RBF(length_scale=0.5)
gpc,PC,HIV-1 PR,minmax,1,0.9405509908168196,RBF(length_scale=1)
gpc,PC,HIV-1 PR,minmax,1,0.9405509908168196,RBF(length_scale=2)
gpc,PC,HIV-1 PR,minmax,1,0.9405509908168196,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,PC,HIV-1 PR,minmax,1,0.931851135814403,"Matern(length_scale=1, nu=0.5)"
gpc,PC,HIV-1 PR,minmax,1,0.9381343644272596,"Matern(length_scale=1, nu=1.5)"
gpc,PC,HIV-1 PR,minmax,1,0.9395843402609956,"Matern(length_scale=1, nu=2.5)"
gpc,PC,HIV-1 PR,minmax,1,0.9381343644272596,DotProduct(sigma_0=1)
gpc,PC,HIV-1 PR,minmax,1,0.9405509908168196,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,PC,HIV-1 PR,minmax,2,0.9275012083131948,RBF(length_scale=0.5)
gpc,PC,HIV-1 PR,minmax,2,0.9386176897051716,RBF(length_scale=1)
gpc,PC,HIV-1 PR,minmax,2,0.9386176897051716,RBF(length_scale=2)
gpc,PC,HIV-1 PR,minmax,2,0.9386176897051716,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,PC,HIV-1 PR,minmax,2,0.9333011116481392,"Matern(length_scale=1, nu=0.5)"
gpc,PC,HIV-1 PR,minmax,2,0.9371677138714356,"Matern(length_scale=1, nu=1.5)"
gpc,PC,HIV-1 PR,minmax,2,0.9381343644272596,"Matern(length_scale=1, nu=2.5)"
gpc,PC,HIV-1 PR,minmax,2,0.9381343644272596,DotProduct(sigma_0=1)
gpc,PC,HIV-1 PR,minmax,2,0.9386176897051716,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,PC,HIV-1 PR,minmax,3,0.9275012083131948,RBF(length_scale=0.5)
gpc,PC,HIV-1 PR,minmax,3,0.9395843402609956,RBF(length_scale=1)
gpc,PC,HIV-1 PR,minmax,3,0.9395843402609956,RBF(length_scale=2)
gpc,PC,HIV-1 PR,minmax,3,0.9395843402609956,"RationalQuadratic(alpha=1, length_scale=1)"
gpc,PC,HIV-1 PR,minmax,3,0.9328177863702272,"Matern(length_scale=1, nu=0.5)"
gpc,PC,HIV-1 PR,minmax,3,0.9362010633156114,"Matern(length_scale=1, nu=1.5)"
gpc,PC,HIV-1 PR,minmax,3,0.9381343644272596,"Matern(length_scale=1, nu=2.5)"
gpc,PC,HIV-1 PR,minmax,3,0.9376510391493476,DotProduct(sigma_0=1)
gpc,PC,HIV-1 PR,minmax,3,0.9395843402609956,RBF(length_scale=1) + WhiteKernel(noise_level=1)
gpc,PC,HIV-1 PR,minmax,4,0.9275012083131948,RBF(length_scale=0.5)
gpc,PC,HIV-1 PR,minmax,4,0.9415176413726438,RBF(length_scale=1)
