Model,Descriptor,Enzyme,Scaler,Accuracy
QDA,MIX,HIV-1 IN,Min-Max,0.5627839295854629
QDA,MIX,HIV-1 IN,Standard,0.733354628052243
QDA,MIX,HIV-1 IN,Difference,-0.1705706984667802
QDA,PC,HIV-1 PR,Min-Max,0.9280852263573385
QDA,PC,HIV-1 PR,Standard,0.9216006122120186
QDA,PC,HIV-1 PR,Difference,0.006484614145319867
QDA,ECFP4,HIV-1 PR,Min-Max,0.7846383115836959
QDA,ECFP4,HIV-1 PR,Standard,0.5012485903012728
QDA,ECFP4,HIV-1 PR,Difference,0.2833897212824231
QDA,MIX,HIV-1 PR,Min-Max,0.7836515224746256
QDA,MIX,HIV-1 PR,Standard,0.5172587401321089
QDA,MIX,HIV-1 PR,Difference,0.2663927823425166
QDA,PC,HIV-1 RT,Min-Max,0.7364689434791293
QDA,PC,HIV-1 RT,Standard,0.7855751947273818
QDA,PC,HIV-1 RT,Difference,-0.04910625124825252
QDA,ECFP4,HIV-1 RT,Min-Max,0.6413021769522669
QDA,ECFP4,HIV-1 RT,Standard,0.7241362093069702
QDA,ECFP4,HIV-1 RT,Difference,-0.08283403235470332
QDA,MIX,HIV-1 RT,Min-Max,0.6378195526263232
QDA,MIX,HIV-1 RT,Standard,0.7316631715598163
QDA,MIX,HIV-1 RT,Difference,-0.09384361893349313
RFC,PC,HIV-1 IN,Min-Max,0.9577512776831345
RFC,PC,HIV-1 IN,Standard,0.9577619250425894
RFC,PC,HIV-1 IN,Difference,-1.0647359454885041e-05
RFC,ECFP4,HIV-1 IN,Min-Max,0.9611903747870528
RFC,ECFP4,HIV-1 IN,Standard,0.9611903747870528
RFC,ECFP4,HIV-1 IN,Difference,0.0
RFC,MIX,HIV-1 IN,Min-Max,0.9611477853492335
RFC,MIX,HIV-1 IN,Standard,0.9611264906303237
RFC,MIX,HIV-1 IN,Difference,2.1294718909770083e-05
RFC,PC,HIV-1 PR,Min-Max,0.9815732237796038
RFC,PC,HIV-1 PR,Standard,0.981621556307395
RFC,PC,HIV-1 PR,Difference,-4.833252779123942e-05
RFC,ECFP4,HIV-1 PR,Min-Max,0.9788303528274529
RFC,ECFP4,HIV-1 PR,Standard,0.9788303528274529
RFC,ECFP4,HIV-1 PR,Difference,0.0
RFC,MIX,HIV-1 PR,Min-Max,0.9803407443209281
RFC,MIX,HIV-1 PR,Standard,0.9803649105848237
RFC,MIX,HIV-1 PR,Difference,-2.41662638955642e-05
RFC,PC,HIV-1 RT,Min-Max,0.9497603355302576
RFC,PC,HIV-1 RT,Standard,0.9496405032953863
RFC,PC,HIV-1 RT,Difference,0.00011983223487133099
RFC,ECFP4,HIV-1 RT,Min-Max,0.9485170760934691
RFC,ECFP4,HIV-1 RT,Standard,0.9485170760934691
RFC,ECFP4,HIV-1 RT,Difference,0.0
RFC,MIX,HIV-1 RT,Min-Max,0.9467495506291191
RFC,MIX,HIV-1 RT,Standard,0.9468394248052725
RFC,MIX,HIV-1 RT,Difference,-8.987417615335946e-05
SVC,PC,HIV-1 IN,Min-Max,0.7799031090289608
SVC,PC,HIV-1 IN,Standard,0.6465449318568994
SVC,PC,HIV-1 IN,Difference,0.13335817717206133
SVC,ECFP4,HIV-1 IN,Min-Max,0.893340076660988
