Descriptor,Enzyme,model,scaler,split,Accuracy,criterion,n_estimators
MIX,IN,rfc,std,2,0.9574105621805792,gini,1500
MIX,IN,rfc,std,2,0.9574105621805792,gini,2000
MIX,IN,rfc,std,2,0.956984667802385,entropy,100
MIX,IN,rfc,std,2,0.9561328790459966,entropy,500
MIX,IN,rfc,std,2,0.9574105621805792,entropy,1000
MIX,IN,rfc,std,2,0.9552810902896082,entropy,1500
MIX,IN,rfc,std,2,0.9565587734241908,entropy,2000
MIX,IN,rfc,std,2,0.9574105621805792,log_loss,100
MIX,IN,rfc,std,2,0.9561328790459966,log_loss,500
MIX,IN,rfc,std,2,0.9557069846678024,log_loss,1000
MIX,IN,rfc,std,2,0.9557069846678024,log_loss,1500
MIX,IN,rfc,std,2,0.956984667802385,log_loss,2000
MIX,IN,rfc,std,3,0.959114139693356,gini,100
MIX,IN,rfc,std,3,0.9599659284497444,gini,500
MIX,IN,rfc,std,3,0.9608177172061328,gini,1000
MIX,IN,rfc,std,3,0.959114139693356,gini,1500
MIX,IN,rfc,std,3,0.9616695059625212,gini,2000
MIX,IN,rfc,std,3,0.956984667802385,entropy,100
MIX,IN,rfc,std,3,0.9616695059625212,entropy,500
MIX,IN,rfc,std,3,0.9578364565587736,entropy,1000
MIX,IN,rfc,std,3,0.959114139693356,entropy,1500
MIX,IN,rfc,std,3,0.9603918228279388,entropy,2000
MIX,IN,rfc,std,3,0.9574105621805792,log_loss,100
MIX,IN,rfc,std,3,0.9608177172061328,log_loss,500
MIX,IN,rfc,std,3,0.9608177172061328,log_loss,1000
MIX,IN,rfc,std,3,0.9599659284497444,log_loss,1500
MIX,IN,rfc,std,3,0.9612436115843273,log_loss,2000
MIX,IN,rfc,std,4,0.967206132879046,gini,100
MIX,IN,rfc,std,4,0.965076660988075,gini,500
MIX,IN,rfc,std,4,0.967206132879046,gini,1000
MIX,IN,rfc,std,4,0.9667802385008518,gini,1500
MIX,IN,rfc,std,4,0.9663543441226576,gini,2000
MIX,IN,rfc,std,4,0.9642248722316864,entropy,100
MIX,IN,rfc,std,4,0.9659284497444632,entropy,500
MIX,IN,rfc,std,4,0.9667802385008518,entropy,1000
MIX,IN,rfc,std,4,0.9659284497444632,entropy,1500
MIX,IN,rfc,std,4,0.9659284497444632,entropy,2000
MIX,IN,rfc,std,4,0.9667802385008518,log_loss,100
MIX,IN,rfc,std,4,0.9676320272572402,log_loss,500
MIX,IN,rfc,std,4,0.967206132879046,log_loss,1000
MIX,IN,rfc,std,4,0.9659284497444632,log_loss,1500
MIX,IN,rfc,std,4,0.967206132879046,log_loss,2000
MIX,IN,rfc,minmax,1,0.9612436115843273,gini,100
MIX,IN,rfc,minmax,1,0.962947189097104,gini,500
MIX,IN,rfc,minmax,1,0.9616695059625212,gini,1000
MIX,IN,rfc,minmax,1,0.9620954003407156,gini,1500
MIX,IN,rfc,minmax,1,0.9620954003407156,gini,2000
MIX,IN,rfc,minmax,1,0.9599659284497444,entropy,100
MIX,IN,rfc,minmax,1,0.9633730834752982,entropy,500
MIX,IN,rfc,minmax,1,0.9633730834752982,entropy,1000
MIX,IN,rfc,minmax,1,0.9620954003407156,entropy,1500
MIX,IN,rfc,minmax,1,0.9608177172061328,entropy,2000
MIX,IN,rfc,minmax,1,0.9608177172061328,log_loss,100
MIX,IN,rfc,minmax,1,0.9608177172061328,log_loss,500
MIX,IN,rfc,minmax,1,0.9616695059625212,log_loss,1000
MIX,IN,rfc,minmax,1,0.9599659284497444,log_loss,1500
MIX,IN,rfc,minmax,1,0.9625212947189096,log_loss,2000
MIX,IN,rfc,minmax,2,0.956984667802385,gini,100
MIX,IN,rfc,minmax,2,0.9552810902896082,gini,500
MIX,IN,rfc,minmax,2,0.9565587734241908,gini,1000
MIX,IN,rfc,minmax,2,0.9586882453151618,gini,1500
MIX,IN,rfc,minmax,2,0.9578364565587736,gini,2000
MIX,IN,rfc,minmax,2,0.9552810902896082,entropy,100
MIX,IN,rfc,minmax,2,0.956984667802385,entropy,500
MIX,IN,rfc,minmax,2,0.954855195911414,entropy,1000
MIX,IN,rfc,minmax,2,0.9565587734241908,entropy,1500
MIX,IN,rfc,minmax,2,0.9561328790459966,entropy,2000
MIX,IN,rfc,minmax,2,0.9552810902896082,log_loss,100
MIX,IN,rfc,minmax,2,0.956984667802385,log_loss,500
MIX,IN,rfc,minmax,2,0.9565587734241908,log_loss,1000
MIX,IN,rfc,minmax,2,0.9561328790459966,log_loss,1500
MIX,IN,rfc,minmax,2,0.9552810902896082,log_loss,2000
MIX,IN,rfc,minmax,3,0.9574105621805792,gini,100
MIX,IN,rfc,minmax,3,0.9586882453151618,gini,500
MIX,IN,rfc,minmax,3,0.959114139693356,gini,1000
MIX,IN,rfc,minmax,3,0.9599659284497444,gini,1500
MIX,IN,rfc,minmax,3,0.9612436115843273,gini,2000
MIX,IN,rfc,minmax,3,0.9582623509369677,entropy,100
MIX,IN,rfc,minmax,3,0.9599659284497444,entropy,500
MIX,IN,rfc,minmax,3,0.9595400340715504,entropy,1000
MIX,IN,rfc,minmax,3,0.959114139693356,entropy,1500
MIX,IN,rfc,minmax,3,0.9582623509369677,entropy,2000
MIX,IN,rfc,minmax,3,0.9582623509369677,log_loss,100
MIX,IN,rfc,minmax,3,0.9620954003407156,log_loss,500
MIX,IN,rfc,minmax,3,0.959114139693356,log_loss,1000
MIX,IN,rfc,minmax,3,0.9586882453151618,log_loss,1500
MIX,IN,rfc,minmax,3,0.9582623509369677,log_loss,2000
MIX,IN,rfc,minmax,4,0.9633730834752982,gini,100
MIX,IN,rfc,minmax,4,0.9655025553662692,gini,500
MIX,IN,rfc,minmax,4,0.967206132879046,gini,1000
MIX,IN,rfc,minmax,4,0.9676320272572402,gini,1500
MIX,IN,rfc,minmax,4,0.9667802385008518,gini,2000
