model,Descriptor,Enzyme,scaler,split,Accuracy,var_smoothing,Category,Enzyme x Descriptor
gnb,PC,HIV-1 PR,minmax,4,0.9062348960850652,1e-12,A,HIV-1 PR x PC
gnb,PC,HIV-1 PR,minmax,4,0.903334944417593,1e-09,A,HIV-1 PR x PC
gnb,PC,HIV-1 PR,minmax,4,0.8970517158047366,1e-06,B,HIV-1 PR x PC
gnb,PC,HIV-1 PR,minmax,4,0.889318511358144,0.001,B,HIV-1 PR x PC
gnb,ECFP4,HIV-1 PR,std,1,0.7699371677138714,1e-12,C,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,std,1,0.7965200579990334,1e-09,C,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,std,1,0.8496858385693572,1e-06,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,std,1,0.930884485258579,0.001,A,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,std,2,0.8018366360560657,1e-12,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,std,2,0.8032866118898019,1e-09,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,std,2,0.8303528274528758,1e-06,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,std,2,0.9192846785886902,0.001,A,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,std,3,0.8129531174480426,1e-12,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,std,3,0.8173030449492509,1e-09,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,std,3,0.8477525374577091,1e-06,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,std,3,0.9207346544224264,0.001,A,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,std,4,0.8105364910584824,1e-12,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,std,4,0.8206863218946351,1e-09,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,std,4,0.8429192846785887,1e-06,B,HIV-1 PR x ECFP4
gnb,ECFP4,HIV-1 PR,std,4,0.9337844369260512,0.001,A,HIV-1 PR x ECFP4
