model,Descriptor,Enzyme,scaler,split,Accuracy,estimator,learning_rate,n_estimators,Category,Enzyme x Descriptor
abc,PC,HIV-1 IN,std,4,0.7546848381601363,DecisionTreeClassifier(max_depth=1),0.01,100,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,4,0.7538330494037478,DecisionTreeClassifier(max_depth=1),0.1,10,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,4,0.7487223168654173,DecisionTreeClassifier(max_depth=1),0.1,20,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,4,0.780664395229983,DecisionTreeClassifier(max_depth=1),0.1,50,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,4,0.7853492333901193,DecisionTreeClassifier(max_depth=1),0.1,70,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,4,0.7887563884156729,DecisionTreeClassifier(max_depth=1),0.1,100,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,4,0.8002555366269165,DecisionTreeClassifier(max_depth=1),1.0,10,B,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,4,0.8045144804088586,DecisionTreeClassifier(max_depth=1),1.0,20,B,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,4,0.8334752981260647,DecisionTreeClassifier(max_depth=1),1.0,50,B,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,4,0.8415672913117547,DecisionTreeClassifier(max_depth=1),1.0,70,B,HIV-1 IN x PC
abc,PC,HIV-1 IN,std,4,0.8590289608177172,DecisionTreeClassifier(max_depth=1),1.0,100,B,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,1,0.721465076660988,DecisionTreeClassifier(max_depth=1),0.0001,10,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,1,0.721465076660988,DecisionTreeClassifier(max_depth=1),0.0001,20,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,1,0.721465076660988,DecisionTreeClassifier(max_depth=1),0.0001,50,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,1,0.721465076660988,DecisionTreeClassifier(max_depth=1),0.0001,70,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,1,0.721465076660988,DecisionTreeClassifier(max_depth=1),0.0001,100,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,1,0.721465076660988,DecisionTreeClassifier(max_depth=1),0.01,10,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,1,0.721465076660988,DecisionTreeClassifier(max_depth=1),0.01,20,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,1,0.721465076660988,DecisionTreeClassifier(max_depth=1),0.01,50,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,1,0.7227427597955707,DecisionTreeClassifier(max_depth=1),0.01,70,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,1,0.7546848381601363,DecisionTreeClassifier(max_depth=1),0.01,100,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,1,0.7546848381601363,DecisionTreeClassifier(max_depth=1),0.1,10,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,1,0.7568143100511073,DecisionTreeClassifier(max_depth=1),0.1,20,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,1,0.7589437819420783,DecisionTreeClassifier(max_depth=1),0.1,50,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,1,0.7661839863713799,DecisionTreeClassifier(max_depth=1),0.1,70,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,1,0.7913117546848382,DecisionTreeClassifier(max_depth=1),0.1,100,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,1,0.7666098807495741,DecisionTreeClassifier(max_depth=1),1.0,10,C,HIV-1 IN x PC
abc,PC,HIV-1 IN,minmax,1,0.7921635434412265,DecisionTreeClassifier(max_depth=1),1.0,20,C,HIV-1 IN x PC
