model,Descriptor,Enzyme,scaler,split,Accuracy,algorithm,n_neighbors,weights
knn,PC,HIV-1 IN,std,4,0.8466780238500852,auto,10,uniform
knn,PC,HIV-1 IN,std,4,0.936541737649063,auto,10,distance
knn,PC,HIV-1 IN,std,4,0.8705281090289608,ball_tree,5,uniform
knn,PC,HIV-1 IN,std,4,0.9378194207836456,ball_tree,5,distance
knn,PC,HIV-1 IN,std,4,0.8701022146507666,ball_tree,6,uniform
knn,PC,HIV-1 IN,std,4,0.9412265758091992,ball_tree,6,distance
knn,PC,HIV-1 IN,std,4,0.858603066439523,ball_tree,7,uniform
knn,PC,HIV-1 IN,std,4,0.9373935264054516,ball_tree,7,distance
knn,PC,HIV-1 IN,std,4,0.8466780238500852,ball_tree,10,uniform
knn,PC,HIV-1 IN,std,4,0.936541737649063,ball_tree,10,distance
knn,PC,HIV-1 IN,std,4,0.8705281090289608,kd_tree,5,uniform
knn,PC,HIV-1 IN,std,4,0.9378194207836456,kd_tree,5,distance
knn,PC,HIV-1 IN,std,4,0.8701022146507666,kd_tree,6,uniform
knn,PC,HIV-1 IN,std,4,0.9412265758091992,kd_tree,6,distance
knn,PC,HIV-1 IN,std,4,0.858603066439523,kd_tree,7,uniform
knn,PC,HIV-1 IN,std,4,0.9373935264054516,kd_tree,7,distance
knn,PC,HIV-1 IN,std,4,0.8466780238500852,kd_tree,10,uniform
knn,PC,HIV-1 IN,std,4,0.936541737649063,kd_tree,10,distance
knn,PC,HIV-1 IN,std,4,0.8705281090289608,brute,5,uniform
knn,PC,HIV-1 IN,std,4,0.9378194207836456,brute,5,distance
knn,PC,HIV-1 IN,std,4,0.8701022146507666,brute,6,uniform
knn,PC,HIV-1 IN,std,4,0.9412265758091992,brute,6,distance
knn,PC,HIV-1 IN,std,4,0.858603066439523,brute,7,uniform
knn,PC,HIV-1 IN,std,4,0.9373935264054516,brute,7,distance
knn,PC,HIV-1 IN,std,4,0.8466780238500852,brute,10,uniform
knn,PC,HIV-1 IN,std,4,0.936541737649063,brute,10,distance
knn,PC,HIV-1 IN,minmax,1,0.8649914821124361,auto,5,uniform
knn,PC,HIV-1 IN,minmax,1,0.9361158432708688,auto,5,distance
knn,PC,HIV-1 IN,minmax,1,0.8705281090289608,auto,6,uniform
knn,PC,HIV-1 IN,minmax,1,0.9390971039182284,auto,6,distance
knn,PC,HIV-1 IN,minmax,1,0.854344122657581,auto,7,uniform
knn,PC,HIV-1 IN,minmax,1,0.936541737649063,auto,7,distance
knn,PC,HIV-1 IN,minmax,1,0.8458262350936968,auto,10,uniform
knn,PC,HIV-1 IN,minmax,1,0.9378194207836456,auto,10,distance
knn,PC,HIV-1 IN,minmax,1,0.8649914821124361,ball_tree,5,uniform
knn,PC,HIV-1 IN,minmax,1,0.9361158432708688,ball_tree,5,distance
knn,PC,HIV-1 IN,minmax,1,0.8705281090289608,ball_tree,6,uniform
knn,PC,HIV-1 IN,minmax,1,0.9390971039182284,ball_tree,6,distance
knn,PC,HIV-1 IN,minmax,1,0.854344122657581,ball_tree,7,uniform
knn,PC,HIV-1 IN,minmax,1,0.936541737649063,ball_tree,7,distance
knn,PC,HIV-1 IN,minmax,1,0.8458262350936968,ball_tree,10,uniform
knn,PC,HIV-1 IN,minmax,1,0.9378194207836456,ball_tree,10,distance
knn,PC,HIV-1 IN,minmax,1,0.8649914821124361,kd_tree,5,uniform
knn,PC,HIV-1 IN,minmax,1,0.9361158432708688,kd_tree,5,distance
knn,PC,HIV-1 IN,minmax,1,0.8705281090289608,kd_tree,6,uniform
knn,PC,HIV-1 IN,minmax,1,0.9390971039182284,kd_tree,6,distance
knn,PC,HIV-1 IN,minmax,1,0.854344122657581,kd_tree,7,uniform
knn,PC,HIV-1 IN,minmax,1,0.936541737649063,kd_tree,7,distance
knn,PC,HIV-1 IN,minmax,1,0.8458262350936968,kd_tree,10,uniform
knn,PC,HIV-1 IN,minmax,1,0.9378194207836456,kd_tree,10,distance
knn,PC,HIV-1 IN,minmax,1,0.8649914821124361,brute,5,uniform
knn,PC,HIV-1 IN,minmax,1,0.9361158432708688,brute,5,distance
knn,PC,HIV-1 IN,minmax,1,0.8705281090289608,brute,6,uniform
knn,PC,HIV-1 IN,minmax,1,0.9390971039182284,brute,6,distance
knn,PC,HIV-1 IN,minmax,1,0.854344122657581,brute,7,uniform
knn,PC,HIV-1 IN,minmax,1,0.936541737649063,brute,7,distance
knn,PC,HIV-1 IN,minmax,1,0.8458262350936968,brute,10,uniform
knn,PC,HIV-1 IN,minmax,1,0.9378194207836456,brute,10,distance
knn,PC,HIV-1 IN,minmax,2,0.8705281090289608,auto,5,uniform
knn,PC,HIV-1 IN,minmax,2,0.9463373083475298,auto,5,distance
knn,PC,HIV-1 IN,minmax,2,0.8603066439522998,auto,6,uniform
knn,PC,HIV-1 IN,minmax,2,0.944633730834753,auto,6,distance
knn,PC,HIV-1 IN,minmax,2,0.8530664395229983,auto,7,uniform
knn,PC,HIV-1 IN,minmax,2,0.9395229982964224,auto,7,distance
knn,PC,HIV-1 IN,minmax,2,0.8432708688245315,auto,10,uniform
knn,PC,HIV-1 IN,minmax,2,0.936541737649063,auto,10,distance
knn,PC,HIV-1 IN,minmax,2,0.8705281090289608,ball_tree,5,uniform
knn,PC,HIV-1 IN,minmax,2,0.9463373083475298,ball_tree,5,distance
knn,PC,HIV-1 IN,minmax,2,0.8603066439522998,ball_tree,6,uniform
knn,PC,HIV-1 IN,minmax,2,0.944633730834753,ball_tree,6,distance
knn,PC,HIV-1 IN,minmax,2,0.8530664395229983,ball_tree,7,uniform
knn,PC,HIV-1 IN,minmax,2,0.9395229982964224,ball_tree,7,distance
knn,PC,HIV-1 IN,minmax,2,0.8432708688245315,ball_tree,10,uniform
knn,PC,HIV-1 IN,minmax,2,0.936541737649063,ball_tree,10,distance
knn,PC,HIV-1 IN,minmax,2,0.8705281090289608,kd_tree,5,uniform
knn,PC,HIV-1 IN,minmax,2,0.9463373083475298,kd_tree,5,distance
knn,PC,HIV-1 IN,minmax,2,0.8603066439522998,kd_tree,6,uniform
knn,PC,HIV-1 IN,minmax,2,0.944633730834753,kd_tree,6,distance
knn,PC,HIV-1 IN,minmax,2,0.8530664395229983,kd_tree,7,uniform
knn,PC,HIV-1 IN,minmax,2,0.9395229982964224,kd_tree,7,distance
knn,PC,HIV-1 IN,minmax,2,0.8432708688245315,kd_tree,10,uniform
knn,PC,HIV-1 IN,minmax,2,0.936541737649063,kd_tree,10,distance
knn,PC,HIV-1 IN,minmax,2,0.8705281090289608,brute,5,uniform
knn,PC,HIV-1 IN,minmax,2,0.9463373083475298,brute,5,distance
knn,PC,HIV-1 IN,minmax,2,0.8603066439522998,brute,6,uniform
knn,PC,HIV-1 IN,minmax,2,0.944633730834753,brute,6,distance
knn,PC,HIV-1 IN,minmax,2,0.8530664395229983,brute,7,uniform
knn,PC,HIV-1 IN,minmax,2,0.9395229982964224,brute,7,distance
knn,PC,HIV-1 IN,minmax,2,0.8432708688245315,brute,10,uniform
knn,PC,HIV-1 IN,minmax,2,0.936541737649063,brute,10,distance
knn,PC,HIV-1 IN,minmax,3,0.8632879045996593,auto,5,uniform
knn,PC,HIV-1 IN,minmax,3,0.9450596252129472,auto,5,distance
knn,PC,HIV-1 IN,minmax,3,0.8611584327086882,auto,6,uniform
knn,PC,HIV-1 IN,minmax,3,0.9476149914821124,auto,6,distance
knn,PC,HIV-1 IN,minmax,3,0.8556218057921635,auto,7,uniform
knn,PC,HIV-1 IN,minmax,3,0.9463373083475298,auto,7,distance
knn,PC,HIV-1 IN,minmax,3,0.8419931856899489,auto,10,uniform
knn,PC,HIV-1 IN,minmax,3,0.9450596252129472,auto,10,distance
knn,PC,HIV-1 IN,minmax,3,0.8632879045996593,ball_tree,5,uniform
knn,PC,HIV-1 IN,minmax,3,0.9450596252129472,ball_tree,5,distance
knn,PC,HIV-1 IN,minmax,3,0.8611584327086882,ball_tree,6,uniform
knn,PC,HIV-1 IN,minmax,3,0.9476149914821124,ball_tree,6,distance
knn,PC,HIV-1 IN,minmax,3,0.8556218057921635,ball_tree,7,uniform
knn,PC,HIV-1 IN,minmax,3,0.9463373083475298,ball_tree,7,distance
knn,PC,HIV-1 IN,minmax,3,0.8419931856899489,ball_tree,10,uniform
knn,PC,HIV-1 IN,minmax,3,0.9450596252129472,ball_tree,10,distance
knn,PC,HIV-1 IN,minmax,3,0.8632879045996593,kd_tree,5,uniform
knn,PC,HIV-1 IN,minmax,3,0.9450596252129472,kd_tree,5,distance
knn,PC,HIV-1 IN,minmax,3,0.8611584327086882,kd_tree,6,uniform
knn,PC,HIV-1 IN,minmax,3,0.9476149914821124,kd_tree,6,distance
knn,PC,HIV-1 IN,minmax,3,0.8556218057921635,kd_tree,7,uniform
knn,PC,HIV-1 IN,minmax,3,0.9463373083475298,kd_tree,7,distance
knn,PC,HIV-1 IN,minmax,3,0.8419931856899489,kd_tree,10,uniform
knn,PC,HIV-1 IN,minmax,3,0.9450596252129472,kd_tree,10,distance
knn,PC,HIV-1 IN,minmax,3,0.8632879045996593,brute,5,uniform
knn,PC,HIV-1 IN,minmax,3,0.9450596252129472,brute,5,distance
knn,PC,HIV-1 IN,minmax,3,0.8611584327086882,brute,6,uniform
knn,PC,HIV-1 IN,minmax,3,0.9476149914821124,brute,6,distance
knn,PC,HIV-1 IN,minmax,3,0.8556218057921635,brute,7,uniform
knn,PC,HIV-1 IN,minmax,3,0.9463373083475298,brute,7,distance
knn,PC,HIV-1 IN,minmax,3,0.8419931856899489,brute,10,uniform
knn,PC,HIV-1 IN,minmax,3,0.9450596252129472,brute,10,distance
knn,PC,HIV-1 IN,minmax,4,0.858603066439523,auto,5,uniform
knn,PC,HIV-1 IN,minmax,4,0.9275979557069848,auto,5,distance
knn,PC,HIV-1 IN,minmax,4,0.8624361158432708,auto,6,uniform
knn,PC,HIV-1 IN,minmax,4,0.9254684838160137,auto,6,distance
knn,PC,HIV-1 IN,minmax,4,0.8373083475298126,auto,7,uniform
knn,PC,HIV-1 IN,minmax,4,0.9233390119250426,auto,7,distance
knn,PC,HIV-1 IN,minmax,4,0.8326235093696763,auto,10,uniform
knn,PC,HIV-1 IN,minmax,4,0.9250425894378196,auto,10,distance
knn,PC,HIV-1 IN,minmax,4,0.8581771720613288,ball_tree,5,uniform
knn,PC,HIV-1 IN,minmax,4,0.9275979557069848,ball_tree,5,distance
knn,PC,HIV-1 IN,minmax,4,0.8624361158432708,ball_tree,6,uniform
knn,PC,HIV-1 IN,minmax,4,0.9254684838160137,ball_tree,6,distance
knn,PC,HIV-1 IN,minmax,4,0.8373083475298126,ball_tree,7,uniform
knn,PC,HIV-1 IN,minmax,4,0.9233390119250426,ball_tree,7,distance
knn,PC,HIV-1 IN,minmax,4,0.8326235093696763,ball_tree,10,uniform
knn,PC,HIV-1 IN,minmax,4,0.9250425894378196,ball_tree,10,distance
knn,PC,HIV-1 IN,minmax,4,0.858603066439523,kd_tree,5,uniform
knn,PC,HIV-1 IN,minmax,4,0.9275979557069848,kd_tree,5,distance
knn,PC,HIV-1 IN,minmax,4,0.8624361158432708,kd_tree,6,uniform
knn,PC,HIV-1 IN,minmax,4,0.9254684838160137,kd_tree,6,distance
