model,enzyme,descriptor,scaler,split,signature,phase,precision,recall,accuracy,f1 score,auc,mcc,descriptor_int,phase_int
gpc,IN,MIX,minmax,2,"RationalQuadratic(alpha=1, length_scale=1)",train,0.9454545454545454,0.8201892744479495,0.8977272727272727,0.8783783783783784,0.8907147922627344,0.7968562255569116,3,1
gpc,IN,MIX,minmax,2,"RationalQuadratic(alpha=1, length_scale=1)",validation,0.7887323943661971,0.7924528301886793,0.8106382978723404,0.7905882352941176,0.8090171127687583,0.617780144883717,3,2
gpc,IN,MIX,minmax,2,"RationalQuadratic(alpha=1, length_scale=1)",test,0.9297297297297298,0.7926267281105991,0.8765957446808511,0.8557213930348259,0.8706216644505564,0.7563845182778332,3,3
gpc,IN,MIX,minmax,3,"RationalQuadratic(alpha=1, length_scale=1)",train,0.9487632508833922,0.8456692913385827,0.9098651525904896,0.8942547876769359,0.9041007955400924,0.8202666246766102,3,1
gpc,IN,MIX,minmax,3,"RationalQuadratic(alpha=1, length_scale=1)",validation,0.7005347593582888,0.6208530805687204,0.7100213219616205,0.6582914572864321,0.7018994085014145,0.4102709485339061,3,2
gpc,IN,MIX,minmax,3,"RationalQuadratic(alpha=1, length_scale=1)",test,0.9293478260869564,0.7880184331797235,0.874468085106383,0.8528678304239401,0.8683175169851187,0.7524030879330784,3,3
gpc,IN,MIX,minmax,4,"RationalQuadratic(alpha=1, length_scale=1)",train,0.9520426287744228,0.8440944881889764,0.9105748757984388,0.8948247078464107,0.904605383629372,0.8220147620778728,3,1
gpc,IN,MIX,minmax,4,"RationalQuadratic(alpha=1, length_scale=1)",validation,0.9142857142857144,0.6066350710900474,0.7974413646055437,0.7293447293447294,0.7800617215915353,0.6089377015696485,3,2
gpc,IN,MIX,minmax,4,"RationalQuadratic(alpha=1, length_scale=1)",test,0.9261363636363636,0.7511520737327189,0.8574468085106383,0.8295165394402035,0.8498843372616164,0.7207997470803051,3,3
gpc,IN,MIX,std,1,DotProduct(sigma_0=1),train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
gpc,IN,MIX,std,1,DotProduct(sigma_0=1),validation,0.7757009345794392,0.7830188679245284,0.8,0.7793427230046949,0.7984861781483108,0.5964927027427326,3,2
gpc,IN,MIX,std,1,DotProduct(sigma_0=1),test,0.7901785714285714,0.815668202764977,0.8148936170212766,0.8027210884353742,0.8149487258884173,0.6287361280450683,3,3
gpc,IN,MIX,std,2,DotProduct(sigma_0=1),train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
gpc,IN,MIX,std,2,DotProduct(sigma_0=1),validation,0.7244444444444444,0.7688679245283019,0.7638297872340426,0.7459954233409611,0.7642789235044611,0.5264971286069334,3,2
gpc,IN,MIX,std,2,DotProduct(sigma_0=1),test,0.7665198237885462,0.8018433179723502,0.7957446808510639,0.7837837837837838,0.7961785759822225,0.5909594726944032,3,3
gpc,IN,MIX,std,3,DotProduct(sigma_0=1),train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
gpc,IN,MIX,std,3,DotProduct(sigma_0=1),validation,0.6818181818181818,0.7109004739336493,0.720682302771855,0.6960556844547564,0.7197913222381425,0.4382083048958468,3,2
gpc,IN,MIX,std,3,DotProduct(sigma_0=1),test,0.8578199052132701,0.8341013824884793,0.8595744680851064,0.8457943925233645,0.8577621536948326,0.7171721393485272,3,3
gpc,IN,MIX,std,4,DotProduct(sigma_0=1),train,1.0,1.0,1.0,1.0,1.0,1.0,3,1
gpc,IN,MIX,std,4,DotProduct(sigma_0=1),validation,0.7202072538860104,0.6587677725118484,0.7313432835820896,0.6881188118811881,0.7247327234652265,0.454374756703585,3,2
gpc,IN,MIX,std,4,DotProduct(sigma_0=1),test,0.7831858407079646,0.815668202764977,0.8106382978723404,0.7990970654627539,0.8109961567184568,0.620620350851095,3,3
gpc,IN,MIX,std,1,"Matern(length_scale=1, nu=0.5)",train,0.973384030418251,0.807570977917981,0.9034090909090908,0.8827586206896552,0.8947415613104116,0.8119528206349851,3,1
gpc,IN,MIX,std,1,"Matern(length_scale=1, nu=0.5)",validation,0.9310344827586208,0.5094339622641509,0.7617021276595745,0.6585365853658537,0.7392131051630833,0.552156414800195,3,2
gpc,IN,MIX,std,1,"Matern(length_scale=1, nu=0.5)",test,0.9777777777777776,0.6082949308755761,0.8127659574468085,0.75,0.7982186116828472,0.6571516149090325,3,3
gpc,IN,MIX,std,2,"Matern(length_scale=1, nu=0.5)",train,0.9844357976653696,0.7981072555205048,0.9034090909090908,0.8815331010452961,0.8938856691039216,0.8140760274912018,3,1
gpc,IN,MIX,std,2,"Matern(length_scale=1, nu=0.5)",validation,0.8333333333333334,0.7547169811320755,0.8212765957446808,0.7920792079207921,0.8153429866900688,0.6384368459740047,3,2
gpc,IN,MIX,std,2,"Matern(length_scale=1, nu=0.5)",test,0.967948717948718,0.695852534562212,0.8489361702127659,0.8096514745308311,0.8380448443562047,0.7157598226119051,3,3
gpc,IN,MIX,std,3,"Matern(length_scale=1, nu=0.5)",train,0.9694244604316546,0.8488188976377953,0.9198012775017744,0.90512174643157,0.9134275366741949,0.8417339169715093,3,1
gpc,IN,MIX,std,3,"Matern(length_scale=1, nu=0.5)",validation,0.7375,0.5592417061611374,0.7121535181236673,0.6361185983827493,0.6982255042433594,0.4160077070454402,3,2
gpc,IN,MIX,std,3,"Matern(length_scale=1, nu=0.5)",test,0.961783439490446,0.695852534562212,0.8468085106382979,0.8074866310160428,0.8360685597712245,0.710437721933181,3,3
gpc,IN,MIX,std,4,"Matern(length_scale=1, nu=0.5)",train,0.9738805970149254,0.8220472440944881,0.9098651525904896,0.8915456874466268,0.9019796943986652,0.8239520481662352,3,1
gpc,IN,MIX,std,4,"Matern(length_scale=1, nu=0.5)",validation,0.890625,0.5402843601895735,0.7633262260127932,0.672566371681416,0.7430103971490504,0.5427799006202245,3,2
gpc,IN,MIX,std,4,"Matern(length_scale=1, nu=0.5)",test,0.9379310344827586,0.6267281105990783,0.8085106382978723,0.7513812154696132,0.795577494034717,0.6380662952142636,3,3
gpc,IN,MIX,std,1,"Matern(length_scale=1, nu=1.5)",train,0.9686924493554327,0.8296529968454258,0.9112215909090908,0.8937977909940527,0.90384458627801,0.8255652453926166,3,1
gpc,IN,MIX,std,1,"Matern(length_scale=1, nu=1.5)",validation,0.928,0.5471698113207547,0.776595744680851,0.6884272997032641,0.7561430451952612,0.576933548083462,3,2
gpc,IN,MIX,std,1,"Matern(length_scale=1, nu=1.5)",test,0.9539473684210528,0.6682027649769585,0.8319148936170213,0.7859078590785907,0.8202673903936177,0.6826490501673518,3,3
gpc,IN,MIX,std,2,"Matern(length_scale=1, nu=1.5)",train,0.9717514124293786,0.8138801261829653,0.9055397727272728,0.8858369098712446,0.8972501406108624,0.815571624500102,3,1
gpc,IN,MIX,std,2,"Matern(length_scale=1, nu=1.5)",validation,0.8324873096446701,0.7735849056603774,0.8276595744680851,0.8019559902200489,0.8228389644580957,0.6511473659939296,3,2
gpc,IN,MIX,std,2,"Matern(length_scale=1, nu=1.5)",test,0.9567901234567902,0.7142857142857143,0.8531914893617021,0.8179419525065963,0.8433088650479956,0.7202317719936958,3,3
gpc,IN,MIX,std,3,"Matern(length_scale=1, nu=1.5)",train,0.9646017699115044,0.8582677165354331,0.921930447125621,0.9083333333333332,0.9162139616268896,0.8451008444681891,3,1
gpc,IN,MIX,std,3,"Matern(length_scale=1, nu=1.5)",validation,0.727810650887574,0.5829383886255924,0.7142857142857143,0.6473684210526316,0.7023219074910909,0.4192953127550708,3,2
gpc,IN,MIX,std,3,"Matern(length_scale=1, nu=1.5)",test,0.9454545454545454,0.7188940092165899,0.851063829787234,0.8167539267015707,0.8416604433434728,0.7137118893396789,3,3
gpc,IN,MIX,std,4,"Matern(length_scale=1, nu=1.5)",train,0.9655797101449276,0.8393700787401575,0.9141234918381832,0.8980623420387531,0.9074111375612932,0.8305394886200357,3,1
gpc,IN,MIX,std,4,"Matern(length_scale=1, nu=1.5)",validation,0.8962962962962963,0.5734597156398105,0.7782515991471215,0.6994219653179191,0.7595980748741689,0.570482630714493,3,2
gpc,IN,MIX,std,4,"Matern(length_scale=1, nu=1.5)",test,0.9328859060402684,0.6405529953917051,0.8127659574468085,0.7595628415300546,0.8005136518460502,0.6439300296151507,3,3
gpc,IN,MIX,std,1,"Matern(length_scale=1, nu=2.5)",train,0.9671532846715328,0.8359621451104101,0.9133522727272728,0.8967851099830795,0.9063531655784608,0.8292953828543171,3,1
gpc,IN,MIX,std,1,"Matern(length_scale=1, nu=2.5)",validation,0.9307692307692308,0.5707547169811321,0.7872340425531915,0.7076023391812866,0.7679354980254499,0.5961106766230402,3,2
gpc,IN,MIX,std,1,"Matern(length_scale=1, nu=2.5)",test,0.9487179487179488,0.6820276497695853,0.8361702127659575,0.7935656836461126,0.8252035482049508,0.688570282499755,3,3
