Model,Enzyme,Descriptor,Phase,PRC,REC,ACC,F1-Score,AUC,MCC
SVC,HIV-1 IN,PC,Train,0.4663951120162933,0.361198738170347,0.5262784090909091,0.4071111111111111,0.5113487230903414,0.0236955443674402
SVC,HIV-1 IN,PC,Validation,0.4739884393063583,0.3867924528301887,0.5297872340425532,0.4259740259740259,0.5170396372678076,0.0351614558286607
SVC,HIV-1 IN,PC,Test,0.4965986394557823,0.336405529953917,0.5361702127659574,0.4010989010989011,0.5219577056884209,0.0472223020014207
SVC,HIV-1 IN,PC,Train,0.4724061810154525,0.3375394321766561,0.5319602272727273,0.3937442502299908,0.514376951230447,0.0306239436997599
SVC,HIV-1 IN,PC,Validation,0.5087719298245614,0.410377358490566,0.5553191489361702,0.454308093994778,0.5423979815708644,0.0877039819050781
SVC,HIV-1 IN,PC,Test,0.4566929133858268,0.2672811059907834,0.5148936170212766,0.3372093023255814,0.4972769166317553,-0.0061140944067456
SVC,HIV-1 IN,PC,Train,0.4392712550607287,0.3417322834645669,0.5067423704755145,0.3844109831709477,0.4919255732568312,-0.0168393380626844
SVC,HIV-1 IN,PC,Validation,0.5,0.3601895734597156,0.5501066098081023,0.418732782369146,0.5328079650244314,0.0697443360916966
SVC,HIV-1 IN,PC,Test,0.4710144927536231,0.2995391705069124,0.5212765957446809,0.3661971830985915,0.5055008105498988,0.0120430981564833
SVC,HIV-1 IN,PC,Train,0.493069306930693,0.3921259842519685,0.5443577004968062,0.4368421052631579,0.5306883151234002,0.0636840213724558
SVC,HIV-1 IN,PC,Validation,0.4193548387096774,0.3080568720379147,0.4968017057569296,0.3551912568306011,0.4796098313677945,-0.0431291819427662
SVC,HIV-1 IN,PC,Test,0.4744525547445255,0.2995391705069124,0.5234042553191489,0.3672316384180791,0.507477095134879,0.0164047882617562
SVC,HIV-1 IN,PC,Train,0.4702380952380952,0.3738170347003154,0.5284090909090909,0.4165202108963093,0.514427897195119,0.0299466785322127
SVC,HIV-1 IN,PC,Validation,0.4491978609625668,0.3962264150943396,0.5085106382978724,0.4210526315789473,0.4985008044463946,-0.0030482602552519
SVC,HIV-1 IN,PC,Test,0.4642857142857143,0.2995391705069124,0.5170212765957447,0.3641456582633053,0.5015482413799384,0.0033754976198132
SVC,HIV-1 IN,PC,Train,0.4557235421166307,0.3328075709779179,0.5205965909090909,0.3846855059252507,0.5036130878145404,0.0076527446464947
SVC,HIV-1 IN,PC,Validation,0.4797687861271676,0.3915094339622642,0.5340425531914894,0.4311688311688311,0.5213361123299693,0.0440272735536986
SVC,HIV-1 IN,PC,Test,0.4769230769230769,0.2857142857142857,0.5255319148936171,0.3573487031700288,0.5084697910784867,0.0188791173663814
SVC,HIV-1 IN,PC,Train,0.4366666666666666,0.4125984251968504,0.4953867991483321,0.4242914979757085,0.487952959368451,-0.0242447565605233
SVC,HIV-1 IN,PC,Validation,0.46875,0.4265402843601896,0.5245202558635395,0.4466501240694789,0.5155957235754436,0.0315570288153971
