Model,Enzyme,Descriptor,Phase,PRC,REC,ACC,F1-Score,AUC,MCC
CNN,HIV-1 PR,PC,Test,0.9176755447941888,0.9973684210526316,0.9154589371980676,0.9558638083228248,0.4986842105263158,-0.0147188078040711
CNN,HIV-1 PR,PC,Train,0.9352088661551576,0.9506065857885616,0.8928283642224013,0.942844864632574,0.5385216836988784,0.0864359331433332
CNN,HIV-1 PR,PC,Validation,0.9282051282051282,0.9402597402597402,0.8768115942028986,0.9341935483870968,0.4873712494402149,-0.0275855609831715
CNN,HIV-1 PR,PC,Test,0.9151670951156812,0.936842105263158,0.8623188405797102,0.9258777633289988,0.4831269349845201,-0.0388964913313768
CNN,HIV-1 PR,PC,Train,0.9298387096774192,0.9991334488734837,0.9290894439967768,0.9632414369256476,0.4995667244367417,-0.0077973293611903
CNN,HIV-1 PR,PC,Validation,0.929951690821256,1.0,0.929951690821256,0.9637046307884856,0.5,0.0
CNN,HIV-1 PR,PC,Test,0.9178743961352656,1.0,0.9178743961352656,0.9571788413098236,0.5,0.0
CNN,HIV-1 PR,PC,Train,0.9317032040472176,0.9567099567099568,0.894524959742351,0.9440410081161896,0.512837736975668,0.0315814982576471
CNN,HIV-1 PR,PC,Validation,0.9321148825065274,0.9296875,0.8716707021791767,0.9308996088657104,0.5165678879310345,0.0326213357876861
CNN,HIV-1 PR,PC,Test,0.9175257731958762,0.936842105263158,0.8647342995169082,0.9270833333333334,0.4978328173374613,-0.0049051719193843
CNN,HIV-1 PR,PC,Train,0.9327731092436976,0.9618717504332756,0.9000805801772764,0.947098976109215,0.521165760274109,0.0544462321492807
CNN,HIV-1 PR,PC,Validation,0.9328358208955224,0.974025974025974,0.9106280193236715,0.9529860228716646,0.5214957456336766,0.0654045894804774
CNN,HIV-1 PR,PC,Test,0.9164556962025316,0.9526315789473684,0.8768115942028986,0.9341935483870968,0.4910216718266253,-0.023560330576519
CNN,HIV-1 PR,PC,Train,0.9338983050847458,0.954939341421144,0.895245769540693,0.9443016281062554,0.5291938086416065,0.0689568417194761
CNN,HIV-1 PR,PC,Validation,0.9269521410579346,0.9558441558441558,0.8888888888888888,0.9411764705882352,0.4779220779220779,-0.056793396406307
CNN,HIV-1 PR,PC,Test,0.9143576826196472,0.9552631578947368,0.8768115942028986,0.9343629343629344,0.4776315789473684,-0.0618980357537593
CNN,HIV-1 PR,PC,Train,0.9285120532003324,0.9679376083188908,0.9008863819500404,0.9478150190920662,0.489715930596227,-0.0304812598512123
CNN,HIV-1 PR,PC,Validation,0.927860696517413,0.9688311688311688,0.9009661835748792,0.9479034307496824,0.4844155844155844,-0.0474183273733461
CNN,HIV-1 PR,PC,Test,0.9175,0.9657894736842104,0.8888888888888888,0.941025641025641,0.4976006191950464,-0.0072889743033845
CNN,HIV-1 PR,PC,Train,0.9323753169907016,0.9549783549783548,0.893719806763285,0.943541488451668,0.5177190625466488,0.0425209517799852
CNN,HIV-1 PR,PC,Validation,0.9366754617414248,0.9244791666666666,0.8716707021791767,0.9305373525557012,0.5484464798850575,0.0900736517197259
CNN,HIV-1 PR,PC,Test,0.917312661498708,0.9342105263157896,0.8623188405797102,0.9256844850065188,0.4965170278637771,-0.0077459357087339
CNN,HIV-1 PR,ECFP4,Train,0.9301919720767888,0.9237435008665512,0.8646253021756648,0.9269565217391303,0.5021016354907468,0.0040364149755197
CNN,HIV-1 PR,ECFP4,Validation,0.9269521410579346,0.9558441558441558,0.8888888888888888,0.9411764705882352,0.4779220779220779,-0.056793396406307
CNN,HIV-1 PR,ECFP4,Test,0.9147286821705426,0.9315789473684212,0.857487922705314,0.9230769230769232,0.4804953560371517,-0.0433772399689102
CNN,HIV-1 PR,ECFP4,Train,0.9283305227655988,0.9540727902946274,0.8887993553585818,0.941025641025641,0.4885306480208769,-0.028458219054105
CNN,HIV-1 PR,ECFP4,Validation,0.9319899244332494,0.961038961038961,0.8985507246376812,0.9462915601023018,0.5150022391401702,0.0385918616554013
CNN,HIV-1 PR,ECFP4,Test,0.9168765743073048,0.9578947368421052,0.8816425120772947,0.9369369369369368,0.4936532507739938,-0.0175627644699248
CNN,HIV-1 PR,ECFP4,Train,0.9281437125748504,0.940207972270364,0.8767123287671232,0.9341368919500646,0.4873453654455267,-0.0276419470383958
CNN,HIV-1 PR,ECFP4,Validation,0.9282051282051282,0.9402597402597402,0.8768115942028986,0.9341935483870968,0.4873712494402149,-0.0275855609831715
CNN,HIV-1 PR,ECFP4,Test,0.9140625,0.9236842105263158,0.8502415458937198,0.918848167539267,0.476547987616099,-0.0496723981323925
CNN,HIV-1 PR,ECFP4,Train,0.9297658862876256,0.9627705627705628,0.8977455716586151,0.9459804338579328,0.4986266606956261,-0.0037120512017147
CNN,HIV-1 PR,ECFP4,Validation,0.9348958333333334,0.9348958333333334,0.8789346246973365,0.9348958333333334,0.536413433908046,0.0728268678160919
CNN,HIV-1 PR,ECFP4,Test,0.916243654822335,0.95,0.8743961352657005,0.9328165374677002,0.4897058823529411,-0.0263625411746898
CNN,HIV-1 PR,ECFP4,Train,0.9280270956816258,0.949740034662045,0.8847703464947623,0.9387580299785868,0.4863642702045857,-0.0324616311778304
CNN,HIV-1 PR,ECFP4,Validation,0.927860696517413,0.9688311688311688,0.9009661835748792,0.9479034307496824,0.4844155844155844,-0.0474183273733461
CNN,HIV-1 PR,ECFP4,Test,0.9156010230179028,0.9421052631578948,0.8671497584541062,0.9286640726329444,0.4857585139318885,-0.0341400588287064
CNN,HIV-1 PR,ECFP4,Train,0.9284525790349416,0.9670710571923744,0.9000805801772764,0.9473684210526316,0.4892826550329687,-0.0313686045236496
CNN,HIV-1 PR,ECFP4,Validation,0.9287469287469288,0.9818181818181818,0.9130434782608696,0.9545454545454546,0.4909090909090909,-0.0359931991690024
CNN,HIV-1 PR,ECFP4,Test,0.9156327543424316,0.9710526315789474,0.8913043478260869,0.942528735632184,0.4855263157894737,-0.049418718545902
CNN,HIV-1 PR,ECFP4,Train,0.9296610169491526,0.9506065857885616,0.887187751813054,0.9400171379605828,0.4982917986414072,-0.0040348339661856
CNN,HIV-1 PR,ECFP4,Validation,0.9287531806615776,0.948051948051948,0.8840579710144928,0.9383033419023136,0.4912673533363188,-0.0203141813458193
CNN,HIV-1 PR,ECFP4,Test,0.9177377892030848,0.9394736842105263,0.8671497584541062,0.9284785435630688,0.4991486068111455,-0.001962666993785
CNN,HIV-1 PR,ECFP4,Train,0.9290484140233722,0.9636363636363636,0.8977455716586151,0.9460263493412664,0.493312434691745,-0.0184668959849048
CNN,HIV-1 PR,ECFP4,Validation,0.9298701298701298,0.9322916666666666,0.8716707021791767,0.9310793237971392,0.500628591954023,0.0012777739917863
CNN,HIV-1 PR,ECFP4,Test,0.9158163265306124,0.9447368421052632,0.8695652173913043,0.9300518134715026,0.4870743034055728,-0.0316417748581391
CNN,HIV-1 PR,MIX,Train,0.987168520102652,1.0,0.9879129734085416,0.993542832544124,0.9137931034482758,0.9038622965471212
CNN,HIV-1 PR,MIX,Validation,0.9598997493734336,0.9948051948051948,0.9565217391304348,0.9770408163265306,0.7215405284370802,0.6051742899328544
CNN,HIV-1 PR,MIX,Test,0.964102564102564,0.9894736842105264,0.9565217391304348,0.9766233766233766,0.7888544891640866,0.678738445640073
CNN,HIV-1 PR,MIX,Train,0.9871575342465754,0.9991334488734837,0.9871071716357775,0.9931093884582256,0.9133598278850176,0.8970939806462616
CNN,HIV-1 PR,MIX,Validation,0.9622166246851386,0.9922077922077922,0.9565217391304348,0.9769820971867008,0.7374832064487237,0.6109034100256516
CNN,HIV-1 PR,MIX,Test,0.961439588688946,0.9842105263157894,0.9492753623188406,0.9726918075422628,0.7715170278637771,0.6259123467452746
CNN,HIV-1 PR,MIX,Train,0.9982698961937716,1.0,0.9983883964544722,0.9991341991341992,0.9885057471264368,0.98758349669683
CNN,HIV-1 PR,MIX,Validation,0.9477611940298508,0.9896103896103896,0.9396135265700484,0.9682337992376112,0.6327362292879535,0.4038733400419484
CNN,HIV-1 PR,MIX,Test,0.947103274559194,0.9894736842105264,0.9396135265700484,0.967824967824968,0.6859133126934984,0.5144604909360898
CNN,HIV-1 PR,MIX,Train,0.9763313609467456,1.0,0.9774557165861514,0.9880239520958084,0.8390804597701149,0.8137012802715804
CNN,HIV-1 PR,MIX,Validation,0.9551122194513716,0.9973958333333334,0.953995157384988,0.975796178343949,0.6883530890804599,0.5730658709004661
CNN,HIV-1 PR,MIX,Test,0.9333333333333332,0.9947368421052633,0.929951690821256,0.9630573248407645,0.6003095975232198,0.3777069481750241
CNN,HIV-1 PR,MIX,Train,0.9974070872947276,1.0,0.9975825946817084,0.9987018606663782,0.9827586206896552,0.9813326344603946
CNN,HIV-1 PR,MIX,Validation,0.9696202531645568,0.9948051948051948,0.966183574879227,0.982051282051282,0.7905060456784596,0.7086620658691347
CNN,HIV-1 PR,MIX,Test,0.9420654911838792,0.9842105263157894,0.929951690821256,0.9626769626769628,0.6538699690402476,0.4257899483684207
CNN,HIV-1 PR,MIX,Train,0.984641638225256,1.0,0.98549556809025,0.9922613929492692,0.896551724137931,0.8836982961353067
CNN,HIV-1 PR,MIX,Validation,0.9506172839506172,1.0,0.9516908212560388,0.9746835443037974,0.6551724137931034,0.5431566598027889
CNN,HIV-1 PR,MIX,Test,0.94,0.9894736842105264,0.932367149758454,0.964102564102564,0.6417956656346748,0.4307548685096933
CNN,HIV-1 PR,MIX,Train,0.9897084048027444,1.0,0.9903303787268332,0.9948275862068966,0.9310344827586208,0.9236865814181892
CNN,HIV-1 PR,MIX,Validation,0.9527363184079602,0.9948051948051948,0.9492753623188406,0.9733163913595934,0.6698163905060457,0.516696256895772
CNN,HIV-1 PR,MIX,Test,0.9333333333333332,0.9947368421052633,0.929951690821256,0.9630573248407645,0.6003095975232198,0.3777069481750241
CNN,HIV-1 PR,MIX,Train,0.993975903614458,1.0,0.9943639291465378,0.9969788519637462,0.9597701149425288,0.9560339067783352
CNN,HIV-1 PR,MIX,Validation,0.945679012345679,0.9973958333333334,0.9443099273607748,0.97084917617237,0.6193875718390806,0.4426711523089016
CNN,HIV-1 PR,MIX,Test,0.949748743718593,0.9947368421052633,0.9468599033816424,0.9717223650385604,0.7032507739938081,0.5790178244427797
CNN,HIV-1 RT,PC,Train,0.7064110245656081,0.8285312719606466,0.6333666333666333,0.7626131953428201,0.4911222853758328,-0.0216183539395738
CNN,HIV-1 RT,PC,Validation,0.6945454545454546,0.8042105263157895,0.6092814371257484,0.7453658536585366,0.4668721025361331,-0.0787457239175646
CNN,HIV-1 RT,PC,Test,0.7451327433628319,0.8369781312127237,0.6616766467065869,0.7883895131086143,0.4821254292427255,-0.0426922206555828
CNN,HIV-1 RT,PC,Train,0.7093373493975904,0.9929725931131412,0.7057942057942058,0.8275256222547585,0.4964862965565706,-0.045195184617346
CNN,HIV-1 RT,PC,Validation,0.7097744360902256,0.9936842105263158,0.7065868263473054,0.8280701754385965,0.4968421052631579,-0.0428135908507499
CNN,HIV-1 RT,PC,Test,0.7526236881559221,0.9980119284294234,0.7514970059880239,0.8581196581196581,0.4990059642147117,-0.0221766050785797
CNN,HIV-1 RT,PC,Train,0.7058507783145465,0.9234550561797752,0.671992011982027,0.8001216915120171,0.4884978216995595,-0.0409009996302934
CNN,HIV-1 RT,PC,Validation,0.7032258064516129,0.919831223628692,0.6671664167916042,0.7970749542961609,0.4832316739905118,-0.0594213830914801
CNN,HIV-1 RT,PC,Test,0.7492012779552716,0.9324055666003976,0.7140718562874252,0.8308237378210807,0.490445207542623,-0.0339520034649193
CNN,HIV-1 RT,PC,Train,0.7032069970845481,0.8469101123595506,0.6370444333499751,0.7683975788467665,0.483904106266131,-0.0415921204613149
CNN,HIV-1 RT,PC,Validation,0.7086882453151618,0.8776371308016878,0.656671664167916,0.7841658812441094,0.4958133840536936,-0.0116868346677602
CNN,HIV-1 RT,PC,Test,0.751269035532995,0.882703777335984,0.6916167664670658,0.8117001828153565,0.4958973432134466,-0.0110810788254992
CNN,HIV-1 RT,PC,Train,0.7014475271411339,0.8172874209416725,0.6228771228771228,0.7549496916585524,0.4811825705744632,-0.0452335360304232
