model,enzyme,descriptor,scaler,split,signature,phase,precision,recall,accuracy,f1 score,auc,mcc,descriptor_int,phase_int
mlp,PR,PC,std,3,sign,train,0.9308283518360376,0.9445407279029464,0.8831587429492345,0.9376344086021504,0.5067531225721629,0.0149475388639197,1,1
mlp,PR,PC,std,3,sign,validation,0.9289340101522844,0.9506493506493506,0.8864734299516909,0.9396662387676508,0.4925660546350201,-0.0176976505552086,1,2
mlp,PR,PC,std,3,sign,test,0.9153846153846154,0.9394736842105263,0.8647342995169082,0.9272727272727272,0.4844427244582043,-0.0365558487603576,1,3
mlp,PR,PC,std,4,sign,train,0.9275979557069848,0.9428571428571428,0.8784219001610306,0.935165306998712,0.4829228243021346,-0.0383184696408879,1,1
mlp,PR,PC,std,4,sign,validation,0.9306666666666666,0.9088541666666666,0.8523002421307506,0.919631093544137,0.5061512212643678,0.0108754822484299,1,2
mlp,PR,PC,std,4,sign,test,0.9149484536082474,0.9342105263157896,0.8599033816425121,0.9244791666666666,0.4818111455108359,-0.0411684071805472,1,3
mlp,PR,ECFP4,minmax,1,sign,train,0.9324675324675324,0.9332755632582322,0.8751007252215954,0.9328713728886964,0.5183619195601505,0.0369207393346711,2,1
mlp,PR,ECFP4,minmax,1,sign,validation,0.926208651399491,0.9454545454545454,0.8792270531400966,0.93573264781491,0.4727272727272727,-0.0634427509723282,2,2
mlp,PR,ECFP4,minmax,1,sign,test,0.9147286821705426,0.9315789473684212,0.857487922705314,0.9230769230769232,0.4804953560371517,-0.0433772399689102,2,3
mlp,PR,ECFP4,minmax,2,sign,train,0.9321148825065274,0.9280762564991336,0.8702659145850121,0.9300911854103344,0.5157622661806012,0.0307225497113059,2,1
mlp,PR,ECFP4,minmax,2,sign,validation,0.9307692307692308,0.9428571428571428,0.8816425120772947,0.9367741935483872,0.5059113300492611,0.012912390247442,2,2
mlp,PR,ECFP4,minmax,2,sign,test,0.9145077720207254,0.9289473684210526,0.855072463768116,0.9216710182767625,0.4791795665634675,-0.0455279767513505,2,3
mlp,PR,ECFP4,minmax,3,sign,train,0.9283865401207938,0.9324090121317158,0.8702659145850121,0.9303934284479032,0.4891930118129843,-0.0222151146511434,2,1
mlp,PR,ECFP4,minmax,3,sign,validation,0.9309462915601024,0.9454545454545454,0.8840579710144928,0.9381443298969072,0.5072100313479624,0.0160673485743096,2,2
mlp,PR,ECFP4,minmax,3,sign,test,0.9140625,0.9236842105263158,0.8502415458937198,0.918848167539267,0.476547987616099,-0.0496723981323925,2,3
mlp,PR,ECFP4,minmax,4,sign,train,0.931180968564146,0.9489177489177488,0.8872785829307569,0.9399656946826758,0.5089416330795642,0.0204952183226377,2,1
mlp,PR,ECFP4,minmax,4,sign,validation,0.9313984168865436,0.9192708333333334,0.8619854721549637,0.9252948885976408,0.5113595545977012,0.021120142618249,2,2
mlp,PR,ECFP4,minmax,4,sign,test,0.9151670951156812,0.936842105263158,0.8623188405797102,0.9258777633289988,0.4831269349845201,-0.0388964913313768,2,3
mlp,PR,ECFP4,std,1,sign,train,0.9343257443082312,0.9246100519930676,0.8694601128122482,0.9294425087108014,0.5312705432379131,0.0589355448790555,2,1
mlp,PR,ECFP4,std,1,sign,validation,0.9285714285714286,0.9454545454545454,0.8816425120772947,0.9369369369369368,0.4899686520376175,-0.0228278116572488,2,2
mlp,PR,ECFP4,std,1,sign,test,0.9234828496042216,0.9210526315789472,0.857487922705314,0.922266139657444,0.5340557275541795,0.0672198885629923,2,3
mlp,PR,ECFP4,std,2,sign,train,0.9314697926059512,0.8951473136915078,0.8412570507655117,0.9129474149359258,0.5107920476503516,0.0178749008674686,2,1
mlp,PR,ECFP4,std,2,sign,validation,0.9361702127659576,0.9142857142857144,0.8623188405797102,0.9250985545335084,0.5433497536945813,0.0766408429603961,2,2
mlp,PR,ECFP4,std,2,sign,test,0.9197860962566844,0.9052631578947368,0.8405797101449275,0.9124668435013262,0.5114551083591332,0.0212909312442908,2,3
mlp,PR,ECFP4,std,3,sign,train,0.9325842696629212,0.9350086655112652,0.8767123287671232,0.9337948939852876,0.519228470686667,0.0390868748622966,2,1
mlp,PR,ECFP4,std,3,sign,validation,0.9307692307692308,0.9428571428571428,0.8816425120772947,0.9367741935483872,0.5059113300492611,0.012912390247442,2,2
mlp,PR,ECFP4,std,3,sign,test,0.916010498687664,0.9184210526315788,0.8478260869565217,0.9172141918528252,0.4886222910216718,-0.0230672921370495,2,3
mlp,PR,ECFP4,std,4,sign,train,0.9315654405474764,0.9428571428571428,0.8824476650563607,0.9371772805507744,0.5116584564860427,0.0253018912366007,2,1
mlp,PR,ECFP4,std,4,sign,validation,0.9329758713136728,0.90625,0.8523002421307506,0.9194187582562748,0.5220905172413793,0.0381694656447846,2,2
mlp,PR,ECFP4,std,4,sign,test,0.9194805194805196,0.9315789473684212,0.8623188405797102,0.9254901960784314,0.5099071207430341,0.0213147059070183,2,3
mlp,PR,MIX,minmax,1,sign,train,0.9974003466204506,0.9974003466204506,0.9951651893634166,0.9974003466204506,0.9814587939998805,0.9629175879997608,3,1
mlp,PR,MIX,minmax,1,sign,validation,0.9742268041237112,0.9818181818181818,0.9589371980676328,0.9780077619663649,0.8184952978056427,0.6701312141439537,3,2
mlp,PR,MIX,minmax,1,sign,test,0.96875,0.9789473684210528,0.9516908212560388,0.9738219895287958,0.8130030959752321,0.6629543829947039,3,3
mlp,PR,MIX,minmax,2,sign,train,0.9888412017167382,0.9982668977469672,0.9879129734085416,0.9935316946959896,0.9244208051953224,0.9038980146954156,3,1
mlp,PR,MIX,minmax,2,sign,validation,0.9671717171717172,0.9948051948051948,0.9637681159420288,0.9807938540332908,0.7732646663681146,0.6840045554030141,3,2
mlp,PR,MIX,minmax,2,sign,test,0.9496221662468514,0.9921052631578948,0.9444444444444444,0.9703989703989704,0.7019349845201237,0.5587957622199244,3,3
mlp,PR,MIX,minmax,3,sign,train,0.9880034275921166,0.9991334488734837,0.9879129734085416,0.993537268418785,0.9191069543217992,0.9037870323331656,3,1
mlp,PR,MIX,minmax,3,sign,validation,0.941031941031941,0.9948051948051948,0.9371980676328504,0.9671717171717172,0.5836094939543215,0.331031048514914,3,2
mlp,PR,MIX,minmax,3,sign,test,0.9333333333333332,0.9947368421052633,0.929951690821256,0.9630573248407645,0.6003095975232198,0.3777069481750241,3,3
mlp,PR,MIX,minmax,4,sign,train,1.0,0.9974025974025974,0.997584541062802,0.9986996098829648,0.9987012987012986,0.981914377201925,3,1
mlp,PR,MIX,minmax,4,sign,validation,0.9794344473007712,0.9921875,0.973365617433414,0.9857697283311772,0.8581627155172414,0.782338241269999,3,2
mlp,PR,MIX,minmax,4,sign,test,0.9635416666666666,0.9736842105263158,0.9420289855072465,0.9685863874345548,0.7809597523219814,0.5950851657445042,3,3
mlp,PR,MIX,std,1,sign,train,0.9991341991341992,1.0,0.999194198227236,0.9995669120831528,0.9942528735632185,0.9938057647220232,3,1
mlp,PR,MIX,std,1,sign,validation,0.9618320610687024,0.9818181818181818,0.9468599033816424,0.9717223650385604,0.7322884012539185,0.5403572237987952,3,2
mlp,PR,MIX,std,1,sign,test,0.9712041884816754,0.9763157894736842,0.9516908212560388,0.973753280839895,0.8263931888544893,0.6711130273538807,3,3
mlp,PR,MIX,std,2,sign,train,0.9991341991341992,1.0,0.999194198227236,0.9995669120831528,0.9942528735632185,0.9938057647220232,3,1
